AGNO,RBD,DGV_RBD,NOM_RBD,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,ESTADO_ESTAB,COD_ENSE,COD_ENSE2,COD_ENSE3,COD_GRADO,COD_GRADO2,LET_CUR,COD_JOR,COD_TIP_CUR,COD_DES_CUR,MRUN,GEN_ALU,FEC_NAC_ALU,EDAD_ALU,COD_REG_ALU,COD_COM_ALU,NOM_COM_ALU,COD_SEC,COD_ESPE,COD_RAMA,COD_MEN,ENS
2022,1,9,LICEO POLITECNICO ARICA,15,AYP,151,15101,ARICA,151,ARICA,6,5,0,1,463,8,7,3,3,A,4,0,1,459781,1,198107,40,15,15101,ARICA,410,41001,400,0,13
2022,1,9,LICEO POLITECNICO ARICA,15,AYP,151,15101,ARICA,151,ARICA,6,5,0,1,463,8,7,3,3,A,4,0,1,1959596,1,197706,45,15,15101,ARICA,410,41001,400,0,13
2022,1,9,LICEO POLITECNICO ARICA,15,AYP,151,15101,ARICA,151,ARICA,6,5,0,1,463,8,7,3,3,A,4,0,1,2306638,1,200309,18,15,15101,ARICA,410,41001,400,0,13
2022,1,9,LICEO POLITECNICO ARICA,15,AYP,151,15101,ARICA,151,ARICA,6,5,0,1,463,8,7,3,3,A,4,0,1,4332937,2,197207,49,15,15101,ARICA,410,41001,400,0,13
2022,1,9,LICEO POLITECNICO ARICA,15,AYP,151,15101,ARICA,151,ARICA,6,5,0,1,463,8,7,3,3,A,4,0,1,6602653,1,197812,43,15,15101,ARICA,410,41001,400,0,13
2022,1,9,LICEO POLITECNICO ARICA,15,AYP,151,15101,ARICA,151,ARICA,6,5,0,1,463,8,7,3,3,A,4,0,1,7154241,1,200104,21,15,15101,ARICA,410,41001,400,0,13
2022,1,9,LICEO POLITECNICO ARICA,15,AYP,151,15101,ARICA,151,ARICA,6,5,0,1,463,8,7,3,3,A,4,0,1,17443273,2,197404,48,15,15101,ARICA,410,41001,400,0,13
2022,1,9,LICEO POLITECNICO ARICA,15,AYP,151,15101,ARICA,151,ARICA,6,5,0,1,463,8,7,4,4,A,4,0,1,7202976,2,196703,55,15,15101,ARICA,410,41001,400,0,13
2022,1,9,LICEO POLITECNICO ARICA,15,AYP,151,15101,ARICA,151,ARICA,6,5,0,1,463,8,7,4,4,A,4,0,1,7619174,2,198901,33,15,15101,ARICA,410,41001,400,0,13
2022,1,9,LICEO POLITECNICO ARICA,15,AYP,151,15101,ARICA,151,ARICA,6,5,0,1,463,8,7,4,4,A,4,0,1,8499473,2,199607,25,15,15101,ARICA,410,41001,400,0,13
