AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;COD_ENSE;COD_ENSE2;COD_ENSE3;COD_GRADO;COD_GRADO2;LET_CUR;COD_JOR;COD_TIP_CUR;COD_DES_CUR;MRUN;GEN_ALU;FEC_NAC_ALU;EDAD_ALU;COD_REG_ALU;COD_COM_ALU;NOM_COM_ALU;COD_SEC;COD_ESPE;COD_RAMA;COD_MEN;ENS
2021;1;9;LICEO POLITECNICO ARICA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;463;8;7;3;3;A;4;0;1;7202976;2;196703;54;15;15101;ARICA;410;41001;400;0;13
2021;1;9;LICEO POLITECNICO ARICA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;463;8;7;3;3;A;4;0;1;8499473;2;199607;24;15;15101;ARICA;410;41001;400;0;13
2021;1;9;LICEO POLITECNICO ARICA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;463;8;7;3;3;A;4;0;1;24362233;1;196911;51;15;15101;ARICA;410;41001;400;0;13
2021;1;9;LICEO POLITECNICO ARICA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;463;8;7;3;3;A;4;0;1;24958540;2;197802;43;1;1101;IQUIQUE;410;41001;400;0;13
2021;1;9;LICEO POLITECNICO ARICA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;463;8;7;4;4;A;4;0;1;2655917;1;199509;25;15;15101;ARICA;410;41001;400;0;13
2021;1;9;LICEO POLITECNICO ARICA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;463;8;7;4;4;A;4;0;1;8598804;1;197712;43;15;15101;ARICA;410;41001;400;0;13
2021;1;9;LICEO POLITECNICO ARICA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;463;8;7;4;4;A;4;0;1;14742873;2;199212;28;15;15101;ARICA;410;41001;400;0;13
2021;1;9;LICEO POLITECNICO ARICA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;463;8;7;4;4;A;4;0;1;16201389;2;198404;37;15;15101;ARICA;410;41001;400;0;13
2021;1;9;LICEO POLITECNICO ARICA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;463;8;7;4;4;A;4;0;1;16515912;2;197305;48;15;15101;ARICA;410;41001;400;0;13
2021;1;9;LICEO POLITECNICO ARICA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;463;8;7;4;4;A;4;0;1;19907825;2;200206;19;15;15101;ARICA;410;41001;400;0;13
2021;1;9;LICEO POLITECNICO ARICA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;463;8;7;4;4;A;4;0;1;20425606;2;199108;29;15;15101;ARICA;410;41001;400;0;13
2021;1;9;LICEO POLITECNICO ARICA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;510;7;6;1;1;A;1;0;0;861896;1;200702;14;15;15101;ARICA;0;0;0;0;6
